backend,model_name,dtype,batch_size,prompt_tokens,generated_tokens,prefill_ms,decode_ms,total_generate_ms,decode_tokens_per_sec,end_to_end_tokens_per_sec,generated_tok_s_per_gpu,total_processed_tok_s_per_gpu,max_gpu_mem_gb,source_json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,16,1024,128,1100.2236083984376,4359.4333984375,5447.2701171875,469.8180538324906,375.9774597827489,375.9774597827489,3383.713236808733,25.46770544052124,hf_qwen2.5-7b-instruct_bf16_bs16_prompt1024_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,1,1024,128,79.6895767211914,4388.7767578125,4515.408984375,29.165638102438532,28.347557909479576,28.347557909479576,255.12639142685632,14.961582565307618,hf_qwen2.5-7b-instruct_bf16_bs1_prompt1024_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,1,128,128,34.443565368652344,4413.353125,4513.41201171875,29.00311147239842,28.360038614718313,28.360038614718313,56.71983841389051,14.330483436584473,hf_qwen2.5-7b-instruct_bf16_bs1_prompt128_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,1,16384,128,1343.544970703125,4355.087109375,5681.17880859375,29.391139346701173,22.530767941866326,22.530767941866326,2906.4390606792363,25.383059692382812,hf_qwen2.5-7b-instruct_bf16_bs1_prompt16384_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,1,4096,128,301.0286926269531,4362.0392578125,4685.93984375,29.344484279514756,27.31718462292177,27.31718462292177,901.4200226308657,17.027515029907228,hf_qwen2.5-7b-instruct_bf16_bs1_prompt4096_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,2,1024,128,147.268798828125,4449.29169921875,4659.3755859375,57.537990921317004,54.943399557088945,54.943399557088945,494.48685934521393,15.64628562927246,hf_qwen2.5-7b-instruct_bf16_bs2_prompt1024_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,4,1024,128,287.9687866210937,4550.5814453125,4859.5185546875,112.51512699613279,105.36188064289095,105.36188064289095,948.242083684425,17.046882247924806,hf_qwen2.5-7b-instruct_bf16_bs4_prompt1024_gen128.json
hf,Qwen/Qwen2.5-7B-Instruct,bf16,8,1024,128,559.5988403320313,4460.55361328125,5039.77763671875,229.56898111473467,203.18676134636166,203.18676134636166,1828.6521081513956,19.854579639434814,hf_qwen2.5-7b-instruct_bf16_bs8_prompt1024_gen128.json
