Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/nvtx_kern_sum.py](base)... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:spec_generate,PushPop,644708,644708,1,9408,277753311,29523.1,29632.0,26304,32320,929.2,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x6_tn
:spec_generate,PushPop,644708,644708,1,5400,265390893,49146.5,31776.0,28416,86496,24249.3,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
:spec_generate,PushPop,644708,644708,1,414,259301635,626332.5,434318.5,110176,17810419,1098159.9,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
:spec_generate,PushPop,644708,644708,1,9106,223841756,24581.8,25696.0,3136,26496,3879.4,CatArrayBatchedCopy_alignedK_contig
:spec_generate,PushPop,644708,644708,1,26881,171916065,6395.4,5728.0,4160,75552,4571.1,reduce_kernel
:spec_generate,PushPop,644708,644708,1,26932,160705052,5967.1,5536.0,2336,111743,6589.3,unrolled_elementwise_kernel
:spec_generate,PushPop,644708,644708,1,5064,104769814,20689.1,21248.0,15680,22272,1597.5,flash_fwd_splitkv_kernel
:spec_generate,PushPop,644708,644708,1,36,58858601,1634961.1,1489948.0,1485500,1891483,194027.2,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
:spec_generate,PushPop,644708,644708,1,720,58465197,81201.7,80959.5,77312,87872,1906.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
:spec_generate,PushPop,644708,644708,1,5064,54666680,10795.2,11040.0,8096,11872,861.4,flash_fwd_splitkv_combine_kernel
:spec_generate,PushPop,644708,644708,1,64,44920593,701884.3,794158.0,445823,1053917,222977.2,flash_fwd_kernel
:spec_generate,PushPop,644708,644708,1,2880,33551252,11649.7,11680.0,9952,13344,458.7,Kernel2
:spec_generate,PushPop,644708,644708,1,2880,10089257,3503.2,3520.0,2720,3680,218.1,splitKreduce_kernel
:spec_generate,PushPop,644708,644708,1,218,1057148,4849.3,4672.0,3520,7360,655.5,indexSelectSmallIndex
:spec_generate,PushPop,644708,644708,1,340,754843,2220.1,2272.0,1632,2944,175.1,elementwise_kernel_with_index
:spec_generate,PushPop,644708,644708,1,218,645503,2961.0,3008.0,2240,3360,228.9,gemmk1_kernel
:spec_generate,PushPop,644708,644708,1,40,366751,9168.8,9344.0,7040,9440,583.9,index_elementwise_kernel
:spec_generate,PushPop,644708,644708,1,2,39808,19904.0,19904.0,12512,27296,10453.9,vectorized_gather_kernel
:spec_generate,PushPop,644708,644708,1,2,10592,5296.0,5296.0,4640,5952,927.7,ampere_sgemm_128x32_nn
:spec_target_corrective,PushPop,644708,644708,10,720,58465197,81201.7,80959.5,77312,87872,1906.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
:spec_target_corrective,PushPop,644708,644708,10,1080,54967254,50895.6,40352.0,28416,85248,22321.3,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
:spec_target_corrective,PushPop,644708,644708,10,1440,35776846,24845.0,21712.0,5056,48192,18555.0,CatArrayBatchedCopy
